entry_datetime,exit_datetime,action,entry_price,exit_price,profit,bar_len,size,cash,portfolio_value
2024-09-26 18:30:00,2024-09-26 19:00:00,BUY SIDE,65008.1,64937.08,87.43000000000029,2,0,102512.46000000002,102512.46000000002
2024-09-26 20:00:00,2024-09-26 20:15:00,BUY SIDE,65179.3,65171.68,-62.30000000000291,1,0,102450.16000000002,102450.16000000002
2024-09-26 20:30:00,2024-09-26 22:00:00,BUY SIDE,65169.76,65120.2,-32.650000000001455,6,0,102417.51000000001,102417.51000000001
2024-09-26 22:15:00,2024-09-26 23:15:00,BUY SIDE,65119.77,65019.82,-183.57999999999447,4,0,102233.93000000002,102233.93000000002
2024-09-26 23:45:00,2024-09-27 00:15:00,BUY SIDE,65286.91,65340.5,83.94999999999709,2,0,102317.88000000002,102317.88000000002
2024-09-27 01:00:00,2024-09-27 01:15:00,BUY SIDE,65309.64,65207.79,6.790000000000873,1,0,102324.67000000001,102324.67000000001
2024-09-27 01:45:00,2024-09-27 02:15:00,BUY SIDE,65158.84,65499.27,342.5400000000009,2,0,102667.21000000002,102667.21000000002
2024-09-27 02:45:00,2024-09-27 03:00:00,BUY SIDE,65358.85,65424.71,-16.049999999995634,1,0,102651.16000000003,102651.16000000003
2024-09-27 03:15:00,2024-09-27 04:00:00,BUY SIDE,65424.71,65567.05,73.88999999999942,3,0,102725.05000000003,102725.05000000003
2024-09-27 04:15:00,2024-09-27 04:30:00,BUY SIDE,65572.79,65673.46,66.59000000001106,1,0,102791.64000000004,102791.64000000004
2024-09-27 04:45:00,2024-09-27 05:00:00,BUY SIDE,65677.4,65816.47,51.70000000001164,1,0,102843.34000000005,102843.34000000005
2024-09-27 05:45:00,2024-09-27 06:00:00,BUY SIDE,65726.24,65641.55,29.220000000001164,1,0,102872.56000000006,102872.56000000006
2024-09-27 06:45:00,2024-09-27 08:30:00,BUY SIDE,65579.32,65798.07,-117.85000000000582,7,0,102754.71000000005,102754.71000000005
2024-09-27 08:45:00,2024-09-27 09:45:00,BUY SIDE,65754.7,65687.51,-328.09999999999854,4,0,102426.61000000004,102426.61000000004
2024-09-27 10:00:00,2024-09-27 10:15:00,BUY SIDE,65687.5,66322.32,415.570000000007,1,0,102842.18000000005,102842.18000000005
2024-09-27 10:45:00,2024-09-27 11:45:00,BUY SIDE,66336.64,66025.0,-100.16999999999825,4,0,102742.01000000005,102742.01000000005
2024-09-27 13:45:00,2024-09-27 14:30:00,BUY SIDE,65757.19,65821.0,-151.9499999999971,3,0,102590.06000000006,102590.06000000006
2024-09-27 14:45:00,2024-09-27 15:30:00,BUY SIDE,65652.79,65758.73,133.94000000000233,3,0,102724.00000000006,102724.00000000006
2024-09-27 15:45:00,2024-09-27 16:00:00,BUY SIDE,65758.74,65744.73,-94.30000000000291,1,0,102629.70000000006,102629.70000000006
2024-09-27 16:15:00,2024-09-27 16:30:00,BUY SIDE,65740.36,65884.39,21.470000000001164,1,0,102651.17000000006,102651.17000000006
2024-09-27 17:15:00,2024-09-27 17:30:00,BUY SIDE,65786.11,65775.44,84.24000000000524,1,0,102735.41000000006,102735.41000000006
2024-09-27 17:45:00,2024-09-27 18:00:00,BUY SIDE,65775.7,65910.37,49.30999999999767,1,0,102784.72000000006,102784.72000000006
2024-09-27 19:00:00,2024-09-27 19:30:00,BUY SIDE,65885.02,65693.7,-134.74000000000524,2,0,102649.98000000005,102649.98000000005
2024-09-27 20:00:00,2024-09-27 20:30:00,BUY SIDE,65788.8,65871.97,-44.88999999999942,2,0,102605.09000000005,102605.09000000005
2024-09-27 21:00:00,2024-09-27 22:00:00,BUY SIDE,65904.6,65961.25,96.77999999999884,4,0,102701.87000000005,102701.87000000005
2024-09-27 22:15:00,2024-09-27 23:45:00,BUY SIDE,65961.26,66081.22,33.320000000006985,6,0,102735.19000000006,102735.19000000006
